"wwf_terr_ecos","current","1.5_AVOID50R85_2024_tenth_min","1.5_AVOID50R85_2024_fiftieth_min","1.5_AVOID50R85_2024_ninetieth_min","2.0_AVOID50R26_2084_tenth_min","2.0_AVOID50R26_2084_fiftieth_min","2.0_AVOID50R26_2084_ninetieth_min","2.7_AVOID50R45_2084_tenth_min","2.7_AVOID50R45_2084_fiftieth_min","2.7_AVOID50R45_2084_ninetieth_min","3.2_AVOID50R60_2084_tenth_min","3.2_AVOID50R60_2084_fiftieth_min","3.2_AVOID50R60_2084_ninetieth_min","4.5_AVOID50R85_2084_tenth_min","4.5_AVOID50R85_2084_fiftieth_min","4.5_AVOID50R85_2084_ninetieth_min","6.0_AVOID90R85_2084_tenth_min","6.0_AVOID90R85_2084_fiftieth_min","6.0_AVOID90R85_2084_ninetieth_min","current.1","1.5_AVOID50R85_2024_tenth_max","1.5_AVOID50R85_2024_fiftieth_max","1.5_AVOID50R85_2024_ninetieth_max","2.0_AVOID50R26_2084_tenth_max","2.0_AVOID50R26_2084_fiftieth_max","2.0_AVOID50R26_2084_ninetieth_max","2.7_AVOID50R45_2084_tenth_max","2.7_AVOID50R45_2084_fiftieth_max","2.7_AVOID50R45_2084_ninetieth_max","3.2_AVOID50R60_2084_tenth_max","3.2_AVOID50R60_2084_fiftieth_max","3.2_AVOID50R60_2084_ninetieth_max","4.5_AVOID50R85_2084_tenth_max","4.5_AVOID50R85_2084_fiftieth_max","4.5_AVOID50R85_2084_ninetieth_max","6.0_AVOID90R85_2084_tenth_max","6.0_AVOID90R85_2084_fiftieth_max","6.0_AVOID90R85_2084_ninetieth_max","current.2","1.5_AVOID50R85_2024_tenth_mean","1.5_AVOID50R85_2024_fiftieth_mean","1.5_AVOID50R85_2024_ninetieth_mean","2.0_AVOID50R26_2084_tenth_mean","2.0_AVOID50R26_2084_fiftieth_mean","2.0_AVOID50R26_2084_ninetieth_mean","2.7_AVOID50R45_2084_tenth_mean","2.7_AVOID50R45_2084_fiftieth_mean","2.7_AVOID50R45_2084_ninetieth_mean","3.2_AVOID50R60_2084_tenth_mean","3.2_AVOID50R60_2084_fiftieth_mean","3.2_AVOID50R60_2084_ninetieth_mean","4.5_AVOID50R85_2084_tenth_mean","4.5_AVOID50R85_2084_fiftieth_mean","4.5_AVOID50R85_2084_ninetieth_mean","6.0_AVOID90R85_2084_tenth_mean","6.0_AVOID90R85_2084_fiftieth_mean","6.0_AVOID90R85_2084_ninetieth_mean"
-9998,39,41,43,47.5333333333333,40.4666666666667,43,48.5333333333333,38.9333333333333,44,52,38.4,45,53,35.8666666666667,49,57,33.4,54,65,986,866.8,964,1119.46666666667,852.066666666667,973,1172.73333333333,847.933333333333,988,1283.26666666667,838.933333333333,994,1340.46666666667,808.4,1017,1519.13333333333,769.333333333333,1051,1767.73333333333,222.187385501178,213.958440198901,228.46270609788,248.277623658728,211.388484689872,230.352787228474,257.152647648957,208.265462793335,235.017011253599,274.369466980721,207.110512082352,237.892959958126,283.364930646428,204.806315973131,248.648521329495,313.234964668935,206.023693622961,266.580999738288,355.686609090116
10101,941,905.6,997,1249.33333333333,906.6,1041,1377.8,907.133333333333,1110,1580,906.2,1145,1670.46666666667,904.4,1259,1918.86666666667,912.266666666667,1427,2238.4,1029,1024,1120,1339,1033.8,1158,1466.73333333333,1041.6,1229,1684.73333333333,1045.2,1265,1783.4,1054.6,1386,2045.53333333333,1073.53333333333,1566,2385.66666666667,981.5,968.711111111111,1057.66666666667,1296.38888888889,971.877777777778,1095.83333333333,1421.75555555556,974.755555555556,1167.33333333333,1633.94444444445,975.733333333333,1202.83333333333,1728.01111111111,979.766666666667,1324.66666666667,1988.95555555555,989.877777777777,1502,2320.13333333334
10102,692,612.933333333333,686,750.266666666667,585.733333333333,683,761.866666666667,539.533333333333,680,790.6,529.4,679,809.066666666667,511.333333333333,703,880.933333333333,483.466666666667,708,974,1072,1018.13333333333,1094,1141,1001.2,1101,1167.13333333333,970,1114,1214.6,955,1124,1241,907.666666666667,1168,1326.8,868.2,1213,1453.73333333333,843.2,786.266666666667,849.666666666667,891.506666666666,766.626666666667,854,908.582222222221,732.124444444444,859.8,943.204444444444,716.457777777778,866.466666666667,963.031111111111,669.302222222222,894,1025.51555555556,620.16,936.666666666667,1114.30222222222
10103,694,697.866666666667,715,765.466666666667,700.333333333333,723,795,711.4,739,854.266666666667,720.4,749,885.133333333333,745.066666666667,791,986.2,773.2,863,1114.6,733,740.933333333333,762,840.666666666667,744.866666666667,773,886.066666666667,754.933333333333,817,973.4,761.2,840,1018.26666666667,779.866666666667,905,1163.2,811.866666666667,1000,1347.8,724.444444444444,729.355555555555,748,822.755555555556,734.2,761.333333333333,865.703703703704,740.488888888889,793,948.37037037037,745.837037037037,811.888888888889,991.244444444444,762.637037037037,874,1130.18518518519,788.02962962963,966.666666666667,1306.68888888889
10104,467,463.333333333333,481,517.266666666667,462.466666666667,485,533.666666666667,452.466666666667,492,563.533333333333,448.2,496,583.4,441.933333333333,510,659.333333333333,447.133333333333,530,753.733333333334,1023,888.666666666667,978,1221,842.533333333333,962,1301.93333333333,766.733333333333,937,1457.26666666667,732.066666666667,926,1536.73333333333,644.866666666667,895,1763.8,629,896,2042.6,733.769230769231,652.923076923077,709,872.576923076923,627.148717948718,700.307692307692,924.135897435897,587.641025641026,687.730769230769,1025.96153846154,573.351282051282,682.192307692308,1080.17948717949,543.082051282051,675.730769230769,1240.66153846154,527.541025641025,681.615384615385,1429.11794871795
10105,663,672,706,738,670.466666666667,711,765.533333333333,666.266666666667,726,818,665.733333333333,736,844.533333333333,676.266666666667,768,934.533333333333,687.866666666667,811,1065.53333333333,1800,1862.33333333333,1966,2071.4,1887,2033,2181,1937.53333333333,2158,2390.8,1962.8,2223,2499,2047.93333333333,2437,2856.2,2174.2,2752,3350.33333333333,986.74168297456,989.134377038487,1045.5831702544,1132.29589041096,992.764905414221,1068.64970645793,1188.07932159165,1002.52550554468,1114.58904109589,1295.94729288976,1008.70854533594,1139.19373776908,1352.13059360731,1033.81630789302,1224.79256360078,1537.58577951729,1080.23835616438,1354.29354207436,1783.22426614481
10106,507,500.4,528,583.133333333333,500.4,536,611.133333333333,494.466666666667,552,668.933333333333,491.866666666667,560,701.266666666667,488.866666666667,587,798.533333333334,478,628,913.2,858,831.133333333333,898,1022.8,821,912,1082.4,802.266666666667,938,1195.13333333333,792.666666666667,951,1253.73333333333,764.866666666667,995,1441.4,735.2,1060,1682.2,692.418918918919,679.369369369369,720.783783783784,800.081081081081,674.352252252252,731.662162162162,841.373873873874,665.872072072072,753.337837837838,921.399099099099,662.031531531532,764.391891891892,962.97927927928,651.19009009009,801.891891891892,1096.72612612613,639.838738738739,858.689189189189,1274.53243243243
10107,702,707.266666666667,741,903.933333333333,708.666666666667,763,970.666666666667,716.933333333333,797,1073.2,726.133333333333,813,1126.26666666667,755.066666666667,853,1300.93333333333,765.066666666667,900,1514,1181,1100.13333333333,1166,1366,1098.2,1170,1437.6,1099.93333333333,1213,1612.66666666667,1101.86666666667,1235,1703.26666666667,1110.06666666667,1336,1984.73333333333,1147.33333333333,1433,2297.66666666667,918.196078431373,900.501960784314,946.294117647059,1106.29019607843,896.97908496732,958.156862745098,1176.50980392157,893.654901960784,981.372549019608,1309.66666666667,894.207843137255,994.803921568627,1377.49281045752,897.958169934641,1040.3137254902,1589.16470588235,914.218300653595,1108.6862745098,1844.76339869281
10108,837,840.8,862,957.266666666667,851.333333333333,870,1012.13333333333,865.6,890,1115.8,870.533333333333,912,1169.13333333333,895.933333333333,987,1328.4,938.533333333333,1096,1514.46666666667,857,855.466666666667,882,1002.86666666667,862.266666666667,889,1063,881.8,928,1179.13333333333,893.533333333333,952,1238.46666666667,921.933333333333,1031,1406.26666666667,961.933333333333,1139,1606.26666666667,849.6,849.853333333333,875,983.373333333334,857.92,883.4,1040.14666666667,874.426666666667,914.8,1149.02666666667,884.48,938,1204.84,913.626666666666,1013.2,1369.14666666667,954.573333333333,1123.8,1566.25333333334
10110,760,737.8,777,793.066666666667,729.066666666667,782,805,713.133333333333,793,828.6,705.933333333333,798,841.133333333333,682.733333333333,816,885,658.666666666667,853,951.666666666667,760,737.8,777,793.066666666667,729.066666666667,782,805,713.133333333333,793,828.6,705.933333333333,798,841.133333333333,682.733333333333,816,885,658.666666666667,853,951.666666666667,760,737.8,777,793.066666666667,729.066666666667,782,805,713.133333333333,793,828.6,705.933333333333,798,841.133333333333,682.733333333333,816,885,658.666666666667,853,951.666666666667
