"wwf_terr_ecos","current","1.5_AVOID50R85_2024_tenth_min","1.5_AVOID50R85_2024_fiftieth_min","1.5_AVOID50R85_2024_ninetieth_min","2.0_AVOID50R26_2084_tenth_min","2.0_AVOID50R26_2084_fiftieth_min","2.0_AVOID50R26_2084_ninetieth_min","2.7_AVOID50R45_2084_tenth_min","2.7_AVOID50R45_2084_fiftieth_min","2.7_AVOID50R45_2084_ninetieth_min","3.2_AVOID50R60_2084_tenth_min","3.2_AVOID50R60_2084_fiftieth_min","3.2_AVOID50R60_2084_ninetieth_min","4.5_AVOID50R85_2084_tenth_min","4.5_AVOID50R85_2084_fiftieth_min","4.5_AVOID50R85_2084_ninetieth_min","6.0_AVOID90R85_2084_tenth_min","6.0_AVOID90R85_2084_fiftieth_min","6.0_AVOID90R85_2084_ninetieth_min","current.1","1.5_AVOID50R85_2024_tenth_max","1.5_AVOID50R85_2024_fiftieth_max","1.5_AVOID50R85_2024_ninetieth_max","2.0_AVOID50R26_2084_tenth_max","2.0_AVOID50R26_2084_fiftieth_max","2.0_AVOID50R26_2084_ninetieth_max","2.7_AVOID50R45_2084_tenth_max","2.7_AVOID50R45_2084_fiftieth_max","2.7_AVOID50R45_2084_ninetieth_max","3.2_AVOID50R60_2084_tenth_max","3.2_AVOID50R60_2084_fiftieth_max","3.2_AVOID50R60_2084_ninetieth_max","4.5_AVOID50R85_2084_tenth_max","4.5_AVOID50R85_2084_fiftieth_max","4.5_AVOID50R85_2084_ninetieth_max","6.0_AVOID90R85_2084_tenth_max","6.0_AVOID90R85_2084_fiftieth_max","6.0_AVOID90R85_2084_ninetieth_max","current.2","1.5_AVOID50R85_2024_tenth_mean","1.5_AVOID50R85_2024_fiftieth_mean","1.5_AVOID50R85_2024_ninetieth_mean","2.0_AVOID50R26_2084_tenth_mean","2.0_AVOID50R26_2084_fiftieth_mean","2.0_AVOID50R26_2084_ninetieth_mean","2.7_AVOID50R45_2084_tenth_mean","2.7_AVOID50R45_2084_fiftieth_mean","2.7_AVOID50R45_2084_ninetieth_mean","3.2_AVOID50R60_2084_tenth_mean","3.2_AVOID50R60_2084_fiftieth_mean","3.2_AVOID50R60_2084_ninetieth_mean","4.5_AVOID50R85_2084_tenth_mean","4.5_AVOID50R85_2084_fiftieth_mean","4.5_AVOID50R85_2084_ninetieth_mean","6.0_AVOID90R85_2084_tenth_mean","6.0_AVOID90R85_2084_fiftieth_mean","6.0_AVOID90R85_2084_ninetieth_mean"
-9998,0,0,1.77635683940025e-15,1,0,0,1,0,0,1,0,0,1,0,0,1,-1.06666666666667,0,0.533333333333335,89,78,86,97.5333333333333,72.9333333333333,85,100,63.3333333333333,82,105,62,81,108,61,74,117,53.3333333333333,75,129.533333333333,20.9968594608741,20.6536159818547,22.6163308034546,24.985675652098,20.2676611707232,22.8615545668673,25.9364040827009,19.582796824566,23.2303062025648,27.49618773445,19.2411061676699,23.3807903690133,28.1133385675652,17.966780075024,23.5721015440984,29.7097269475704,15.5535025734973,23.0447526825438,31.3338916514002
10101,255,217.666666666667,248,289.133333333333,202.733333333333,235,297.6,169.4,218,314.066666666667,152.333333333333,212,321.066666666667,112,194,334.266666666667,73.2666666666667,170,343.666666666667,296,256.4,291,313.8,234.466666666667,280,318.933333333333,197.466666666667,267,326.133333333333,184,262,328.866666666667,147,243,343.533333333333,111.8,210,358.866666666667,283.333333333333,238.277777777778,271.833333333333,307.411111111111,217.511111111111,263.666666666667,312.4,181.133333333333,248.666666666667,322.077777777778,165.622222222222,241.666666666667,326.266666666667,123.788888888889,221.333333333333,337.877777777778,83.7,193,353.5
10102,8,5,8,12.0666666666667,4,8,13.0666666666667,1.93333333333333,7,14.2,0.466666666666667,7,14.7333333333333,0,6,17.8666666666667,0,4,20.9333333333334,81,60,81,106.533333333333,51.9333333333333,77,115.066666666667,39,71,131.6,33.9333333333333,69,140.133333333333,20.4,61,149,8.93333333333333,48,160.933333333333,24.6666666666667,17.0222222222222,24.6666666666667,33.6622222222222,14.1777777777778,23.9333333333333,36.3688888888889,9.58222222222222,22.2,41.5333333333333,7.57333333333333,21.6,44.3333333333333,3.63111111111111,19.2,50.2133333333334,0.977777777777778,15.1333333333333,55.2844444444444
10103,135,130.933333333333,137,144.533333333333,128.933333333333,137,147.533333333333,125.933333333333,137,151.733333333333,123.933333333333,138,154.266666666667,115.4,135,159.133333333333,100.4,129,165.666666666667,183,175.4,185,202.8,170.4,185,207.933333333333,162,180,218.333333333333,158,177,223,144.466666666667,174,234.133333333333,120.933333333333,159,235.733333333333,172,164.874074074074,174.222222222222,188.614814814815,160.962962962963,174.111111111111,193.466666666667,153.511111111111,171.555555555556,202.562962962963,149.237037037037,168.666666666667,206.851851851852,134.562962962963,163.444444444444,217.444444444444,111.266666666667,151.444444444444,221.777777777778
10104,30,24.9333333333333,29,36.5333333333333,22.9333333333333,29,37.5333333333333,19.9333333333333,26,40.5333333333333,17.9333333333333,25,42.5333333333333,13.4,22,48.5333333333333,8.93333333333333,17,57.0666666666667,86,69.8666666666667,87,102.133333333333,64.3333333333333,87,108.2,54.8,87,118.8,50.8,86,123.866666666667,39.2666666666667,77,133.066666666667,27.2666666666667,59,147.133333333333,63.9230769230769,51.6538461538462,64.8076923076923,76.1871794871795,47.2923076923077,64.7692307692308,80.3153846153847,40.3153846153846,64.3076923076923,88.0128205128206,37.2461538461538,63.5384615384615,91.8153846153846,28.4769230769231,53.8846153846154,100.44358974359,19.2461538461539,42.7692307692308,110.846153846154
10105,41,34.9333333333333,43,49.0666666666667,32.9333333333333,43,51.0666666666667,28.4,43,56.1333333333333,26.9333333333333,43,58.6666666666667,21.4,44,66.7333333333333,15.4,45,78.3333333333334,455,427.333333333333,473,490,413.6,467,502.533333333333,386.666666666667,463,526.533333333333,379.6,461,539.066666666667,343.4,461,572.466666666667,274.866666666667,462,602.4,207.054794520548,191.178473581213,214.994129158513,231.085322896282,184.081669928245,216.166340508806,238.539204174821,170.146118721461,217.238747553816,251.726549249837,162.937508153947,217.450097847358,258.178604044357,140.214220482714,216.598825831703,278.203652968037,111.348727984344,212.978473581213,305.253489889106
10106,55,46.4666666666667,53,63.6,43.4666666666667,52,66.1333333333333,37.4666666666667,51,71.2,35.4666666666667,50,73.7333333333333,27.9333333333333,47,83.3333333333333,19.9333333333333,42,91,153,135,149,162.2,126,146,164.4,108.933333333333,137,166.533333333333,102,133,166.066666666667,79.8666666666667,121,164.066666666667,56.8666666666667,104,162.066666666667,104.932432432432,93.1756756756757,103.324324324324,112.430630630631,88.5117117117117,102.013513513514,114.412612612613,79.372972972973,98.9864864864865,117.876576576577,74.4738738738739,97.2432432432432,119.444144144144,58.8828828828829,89.6891891891892,123.166666666667,41.990990990991,79.6486486486486,127.278378378378
10107,59,49.4,61,72.6,45.8666666666667,61,77.1333333333333,39.3333333333333,61,85.2,36.8,62,89.7333333333333,28.2,63,95.2,18.6666666666667,64,108.866666666667,201,185.866666666667,201,218.733333333333,174.266666666667,201,222.666666666667,162.866666666667,198,229,156.933333333333,194,231.2,127.6,178,227.933333333333,84.8,169,246.933333333333,113.313725490196,97.0326797385621,115.235294117647,130.207843137255,90.3124183006536,114.235294117647,135.262745098039,78.8888888888889,113.450980392157,142.547712418301,73.4745098039215,112.941176470588,145.356862745098,57.6,110.450980392157,154.679738562092,39.7437908496732,104.686274509804,169.209150326797
10108,221,210.933333333333,224,236.6,200.4,223,242.133333333333,179.4,221,252.666666666667,169.733333333333,219,256.733333333333,141.266666666667,207,264.066666666667,108.333333333333,200,279.933333333333,232,219.466666666667,236,252.733333333333,212.466666666667,236,259.866666666667,197.6,232,272.133333333333,189.933333333333,230,278.333333333333,168.4,222,296.533333333333,137.733333333333,216,314.866666666667,227.4,215.986666666667,230,246.386666666667,207.8,229.6,252.24,190.8,226.8,262.96,182.506666666666,224.6,267.333333333333,157.84,216,280.173333333333,126.88,207,294.48
10110,78,67.9333333333333,78,98.5333333333334,63.4,77,105.2,55.4,76,117,51.8666666666667,76,123.133333333333,40.8666666666667,73,139.333333333333,29.4,68,143.933333333333,78,67.9333333333333,78,98.5333333333334,63.4,77,105.2,55.4,76,117,51.8666666666667,76,123.133333333333,40.8666666666667,73,139.333333333333,29.4,68,143.933333333333,78,67.9333333333333,78,98.5333333333334,63.4,77,105.2,55.4,76,117,51.8666666666667,76,123.133333333333,40.8666666666667,73,139.333333333333,29.4,68,143.933333333333
