"wwf_terr_ecos","current","1.5_AVOID50R85_2024_tenth_min","1.5_AVOID50R85_2024_fiftieth_min","1.5_AVOID50R85_2024_ninetieth_min","2.0_AVOID50R26_2084_tenth_min","2.0_AVOID50R26_2084_fiftieth_min","2.0_AVOID50R26_2084_ninetieth_min","2.7_AVOID50R45_2084_tenth_min","2.7_AVOID50R45_2084_fiftieth_min","2.7_AVOID50R45_2084_ninetieth_min","3.2_AVOID50R60_2084_tenth_min","3.2_AVOID50R60_2084_fiftieth_min","3.2_AVOID50R60_2084_ninetieth_min","4.5_AVOID50R85_2084_tenth_min","4.5_AVOID50R85_2084_fiftieth_min","4.5_AVOID50R85_2084_ninetieth_min","6.0_AVOID90R85_2084_tenth_min","6.0_AVOID90R85_2084_fiftieth_min","6.0_AVOID90R85_2084_ninetieth_min","current.1","1.5_AVOID50R85_2024_tenth_max","1.5_AVOID50R85_2024_fiftieth_max","1.5_AVOID50R85_2024_ninetieth_max","2.0_AVOID50R26_2084_tenth_max","2.0_AVOID50R26_2084_fiftieth_max","2.0_AVOID50R26_2084_ninetieth_max","2.7_AVOID50R45_2084_tenth_max","2.7_AVOID50R45_2084_fiftieth_max","2.7_AVOID50R45_2084_ninetieth_max","3.2_AVOID50R60_2084_tenth_max","3.2_AVOID50R60_2084_fiftieth_max","3.2_AVOID50R60_2084_ninetieth_max","4.5_AVOID50R85_2084_tenth_max","4.5_AVOID50R85_2084_fiftieth_max","4.5_AVOID50R85_2084_ninetieth_max","6.0_AVOID90R85_2084_tenth_max","6.0_AVOID90R85_2084_fiftieth_max","6.0_AVOID90R85_2084_ninetieth_max","current.2","1.5_AVOID50R85_2024_tenth_mean","1.5_AVOID50R85_2024_fiftieth_mean","1.5_AVOID50R85_2024_ninetieth_mean","2.0_AVOID50R26_2084_tenth_mean","2.0_AVOID50R26_2084_fiftieth_mean","2.0_AVOID50R26_2084_ninetieth_mean","2.7_AVOID50R45_2084_tenth_mean","2.7_AVOID50R45_2084_fiftieth_mean","2.7_AVOID50R45_2084_ninetieth_mean","3.2_AVOID50R60_2084_tenth_mean","3.2_AVOID50R60_2084_fiftieth_mean","3.2_AVOID50R60_2084_ninetieth_mean","4.5_AVOID50R85_2084_tenth_mean","4.5_AVOID50R85_2084_fiftieth_mean","4.5_AVOID50R85_2084_ninetieth_mean","6.0_AVOID90R85_2084_tenth_mean","6.0_AVOID90R85_2084_fiftieth_mean","6.0_AVOID90R85_2084_ninetieth_mean"
-9998,0.2803,0.2157,0.2382,0.286826666666667,0.206913333333333,0.2532,0.302153333333333,0.20002,0.2634,0.344233333333333,0.202013333333333,0.2741,0.37262,0.20302,0.3363,0.447133333333333,0.238506666666667,0.3915,0.597153333333333,16.5916,15.6747,16.0177,16.3073133333333,15.3489,15.8122,16.2149066666667,14.7238666666667,15.4178,16.03124,14.39172,15.2361,15.9273333333333,13.7803666666667,14.5821,15.63228,13.2197,14.4052,15.56278,10.001203454593,9.65146351740382,9.89051554566867,10.101494214429,9.52677210503359,9.8514924627061,10.1407307580912,9.29304673820117,9.78077314839047,10.2189550710983,9.17668207101108,9.74560065427898,10.261218208148,8.80374668934834,9.63889118031929,10.4109679961616,8.29458486085667,9.50752677309605,10.6583928029312
10101,0.1948,0.187006666666667,0.2147,0.23658,0.182366666666667,0.2234,0.255233333333333,0.192073333333333,0.2373,0.289653333333333,0.191446666666667,0.2495,0.301553333333333,0.213826666666667,0.2923,0.361486666666667,0.224466666666667,0.3348,0.459313333333333,0.2188,0.213173333333333,0.2402,0.25942,0.210133333333333,0.2491,0.2726,0.21732,0.2574,0.311346666666667,0.217173333333333,0.2751,0.332833333333333,0.234446666666667,0.3102,0.41654,0.247766666666667,0.3767,0.5228,0.2107,0.203303333333333,0.229466666666667,0.249355555555556,0.199196666666667,0.237533333333333,0.263944444444444,0.208094444444444,0.2498,0.298654444444445,0.205874444444444,0.263483333333333,0.316675555555555,0.227317777777778,0.298683333333333,0.392574444444445,0.2394,0.357733333333333,0.500658888888889
10102,0.5747,0.550033333333333,0.5985,0.640906666666667,0.555406666666667,0.6075,0.668653333333333,0.54142,0.6314,0.722353333333333,0.531433333333333,0.6345,0.75012,0.505013333333333,0.6658,0.847146666666667,0.47548,0.7335,1.01208,1.0352,1.02127333333333,1.0617,1.09801333333333,1.02517333333333,1.067,1.11706,1.02368666666667,1.0978,1.17032,1.02051333333333,1.1023,1.18581333333333,1.02465333333333,1.1369,1.27038666666667,1.03367333333333,1.1895,1.39563333333333,0.848853333333333,0.838706666666666,0.876033333333333,0.910556888888888,0.833806222222222,0.882486666666667,0.933004888888889,0.829561777777778,0.908113333333333,0.985571555555555,0.825569777777777,0.91834,1.00798844444444,0.820261777777778,0.95408,1.09786088888889,0.811809333333333,1.00851333333333,1.23730844444445
10103,0.1946,0.178293333333333,0.1946,0.223286666666667,0.177073333333333,0.2,0.22682,0.178353333333333,0.2091,0.26712,0.16624,0.2131,0.278646666666667,0.182846666666667,0.231,0.348546666666667,0.2045,0.2839,0.470593333333333,0.2416,0.217046666666667,0.2393,0.263526666666667,0.212,0.2421,0.271533333333333,0.208026666666667,0.2434,0.2973,0.20444,0.2487,0.32228,0.206,0.2629,0.383173333333333,0.21866,0.3153,0.544393333333334,0.2144,0.192366666666667,0.211566666666667,0.239258518518519,0.192516296296296,0.216977777777778,0.246083703703704,0.191959259259259,0.221366666666667,0.279918518518518,0.18430962962963,0.228711111111111,0.297977777777778,0.193837037037037,0.249711111111111,0.367088148148148,0.21184,0.302644444444444,0.512537777777778
10104,0.5794,0.56284,0.5957,0.634366666666667,0.563246666666667,0.6041,0.660346666666667,0.557246666666667,0.6248,0.703146666666667,0.55362,0.625,0.72054,0.559393333333333,0.6461,0.802306666666667,0.542846666666667,0.6781,0.93132,0.7674,0.75164,0.781,0.830626666666667,0.75184,0.7898,0.860506666666667,0.74782,0.7931,0.91154,0.740646666666667,0.8049,0.948593333333333,0.73428,0.82,1.05747333333333,0.7201,0.8589,1.2146,0.699488461538462,0.683119487179487,0.718330769230769,0.760846153846154,0.68349,0.720884615384615,0.783713846153846,0.67555,0.730238461538462,0.836696153846154,0.671088461538462,0.736907692307692,0.857968974358974,0.671013846153846,0.757846153846154,0.947276666666667,0.654664102564102,0.796861538461539,1.08801256410256
10105,0.2137,0.159986666666667,0.1874,0.23184,0.15094,0.1876,0.2368,0.13908,0.179,0.27244,0.1375,0.1872,0.291966666666667,0.134813333333333,0.226,0.388073333333333,0.13534,0.2765,0.605726666666667,0.9696,0.90136,0.9702,1.00793333333333,0.891673333333333,0.9699,1.02235333333333,0.857626666666667,0.9755,1.04478666666667,0.826533333333333,0.9654,1.06664,0.763513333333333,0.9797,1.11097333333333,0.71596,0.9949,1.18616,0.529854011741683,0.438092576647097,0.507858512720157,0.56752626223092,0.411405636007828,0.501317416829746,0.582395603392042,0.363947449445532,0.487233072407045,0.610395629484671,0.347035277234181,0.48630939334638,0.627951258969341,0.316603496412264,0.484628180039139,0.701894481409002,0.302974911937378,0.502860469667319,0.858199452054795
10106,0.2848,0.278573333333333,0.2966,0.31732,0.27614,0.2988,0.325,0.27724,0.31,0.352433333333333,0.276546666666667,0.3175,0.376186666666667,0.275526666666667,0.3398,0.439906666666667,0.27792,0.3795,0.540653333333333,0.5316,0.518806666666667,0.5423,0.580793333333333,0.51594,0.5433,0.592486666666667,0.511906666666667,0.5581,0.6318,0.51184,0.5672,0.64758,0.505253333333333,0.5885,0.708613333333333,0.486686666666667,0.6062,0.843826666666667,0.357675675675676,0.346833333333333,0.369772972972973,0.398740810810811,0.342501261261261,0.373183783783784,0.409775945945946,0.342138468468469,0.383545945945946,0.443226486486486,0.340386486486487,0.390310810810811,0.45903954954955,0.336763963963964,0.417059459459459,0.521730990990991,0.338127567567568,0.46947027027027,0.63604027027027
10107,0.2466,0.19416,0.225,0.27158,0.190653333333333,0.2205,0.27312,0.17748,0.2157,0.31014,0.17772,0.2126,0.334526666666667,0.165593333333333,0.2389,0.425713333333334,0.203406666666667,0.2952,0.562386666666667,0.7393,0.655446666666667,0.7142,0.762613333333333,0.629453333333333,0.7064,0.776773333333333,0.586886666666667,0.6897,0.78802,0.566673333333333,0.676,0.7987,0.51004,0.6563,0.82826,0.497746666666667,0.6479,0.93784,0.523845098039216,0.456802091503268,0.501243137254902,0.54894522875817,0.438540522875817,0.492750980392157,0.559546405228758,0.404337647058824,0.480354901960784,0.579395294117647,0.389154901960784,0.472049019607843,0.591630588235294,0.366577254901961,0.469725490196078,0.650790588235294,0.338523529411765,0.484582352941176,0.799130196078431
10108,0.3034,0.249746666666667,0.3019,0.330553333333333,0.241766666666667,0.3026,0.339766666666667,0.23974,0.3011,0.36954,0.229626666666667,0.2963,0.372133333333333,0.226286666666667,0.3127,0.423006666666667,0.22142,0.3276,0.50958,0.3677,0.307873333333333,0.3586,0.392286666666667,0.303253333333333,0.3577,0.4069,0.27782,0.3483,0.429533333333333,0.280086666666667,0.3536,0.4311,0.248546666666667,0.3557,0.483026666666667,0.22554,0.3518,0.548606666666667,0.33562,0.276669333333333,0.32962,0.361304,0.269314666666667,0.32952,0.372622666666667,0.251617333333333,0.32674,0.397730666666667,0.249156,0.32436,0.399266666666667,0.2357,0.33044,0.449669333333334,0.223572,0.33948,0.533374666666667
10110,0.8381,0.776326666666667,0.8426,0.87046,0.76658,0.8367,0.885433333333333,0.731133333333333,0.8392,0.91806,0.719613333333333,0.8381,0.927193333333333,0.660773333333333,0.8445,0.974013333333333,0.576793333333333,0.8383,1.04996,0.8381,0.776326666666667,0.8426,0.87046,0.76658,0.8367,0.885433333333333,0.731133333333333,0.8392,0.91806,0.719613333333333,0.8381,0.927193333333333,0.660773333333333,0.8445,0.974013333333333,0.576793333333333,0.8383,1.04996,0.8381,0.776326666666667,0.8426,0.87046,0.76658,0.8367,0.885433333333333,0.731133333333333,0.8392,0.91806,0.719613333333333,0.8381,0.927193333333333,0.660773333333333,0.8445,0.974013333333333,0.576793333333333,0.8383,1.04996
