"wwf_terr_ecos","current","1.5_AVOID50R85_2024_tenth_min","1.5_AVOID50R85_2024_fiftieth_min","1.5_AVOID50R85_2024_ninetieth_min","2.0_AVOID50R26_2084_tenth_min","2.0_AVOID50R26_2084_fiftieth_min","2.0_AVOID50R26_2084_ninetieth_min","2.7_AVOID50R45_2084_tenth_min","2.7_AVOID50R45_2084_fiftieth_min","2.7_AVOID50R45_2084_ninetieth_min","3.2_AVOID50R60_2084_tenth_min","3.2_AVOID50R60_2084_fiftieth_min","3.2_AVOID50R60_2084_ninetieth_min","4.5_AVOID50R85_2084_tenth_min","4.5_AVOID50R85_2084_fiftieth_min","4.5_AVOID50R85_2084_ninetieth_min","6.0_AVOID90R85_2084_tenth_min","6.0_AVOID90R85_2084_fiftieth_min","6.0_AVOID90R85_2084_ninetieth_min","current.1","1.5_AVOID50R85_2024_tenth_max","1.5_AVOID50R85_2024_fiftieth_max","1.5_AVOID50R85_2024_ninetieth_max","2.0_AVOID50R26_2084_tenth_max","2.0_AVOID50R26_2084_fiftieth_max","2.0_AVOID50R26_2084_ninetieth_max","2.7_AVOID50R45_2084_tenth_max","2.7_AVOID50R45_2084_fiftieth_max","2.7_AVOID50R45_2084_ninetieth_max","3.2_AVOID50R60_2084_tenth_max","3.2_AVOID50R60_2084_fiftieth_max","3.2_AVOID50R60_2084_ninetieth_max","4.5_AVOID50R85_2084_tenth_max","4.5_AVOID50R85_2084_fiftieth_max","4.5_AVOID50R85_2084_ninetieth_max","6.0_AVOID90R85_2084_tenth_max","6.0_AVOID90R85_2084_fiftieth_max","6.0_AVOID90R85_2084_ninetieth_max","current.2","1.5_AVOID50R85_2024_tenth_mean","1.5_AVOID50R85_2024_fiftieth_mean","1.5_AVOID50R85_2024_ninetieth_mean","2.0_AVOID50R26_2084_tenth_mean","2.0_AVOID50R26_2084_fiftieth_mean","2.0_AVOID50R26_2084_ninetieth_mean","2.7_AVOID50R45_2084_tenth_mean","2.7_AVOID50R45_2084_fiftieth_mean","2.7_AVOID50R45_2084_ninetieth_mean","3.2_AVOID50R60_2084_tenth_mean","3.2_AVOID50R60_2084_fiftieth_mean","3.2_AVOID50R60_2084_ninetieth_mean","4.5_AVOID50R85_2084_tenth_mean","4.5_AVOID50R85_2084_fiftieth_mean","4.5_AVOID50R85_2084_ninetieth_mean","6.0_AVOID90R85_2084_tenth_mean","6.0_AVOID90R85_2084_fiftieth_mean","6.0_AVOID90R85_2084_ninetieth_mean"
-9998,106,109.933333333333,118,124.533333333333,107.4,119,126.533333333333,102.866666666667,119,131.066666666667,100.8,120,133.533333333333,94.7333333333333,122,141.066666666667,88.0666666666667,125,151.6,2133,2059.86666666667,2177,2454.06666666667,2037.86666666667,2187,2575.26666666667,2001.46666666667,2213,2803.6,1984.4,2232,2920.2,1935.06666666667,2308,3278.13333333333,1879.86666666667,2421,3723.13333333333,572.966239204397,572.845590159644,601.146558492541,639.351216958911,569.467696065602,607.618947919393,659.549629241909,564.409177353223,620.609526302015,697.438628631248,562.400191921835,627.457995289191,716.763604641019,557.471290238158,650.807903690133,779.160429207014,554.765733228649,685.529965977493,865.446043793073
10101,3509,3365.6,3560,4034.6,3312.73333333333,3583,4225.2,3220.86666666667,3640,4576.73333333333,3177.8,3675,4759.8,3047.93333333333,3810,5314.66666666667,2892.6,4033,6047.93333333333,3920,3804.2,3987,4457.53333333333,3760.86666666667,4016,4651.73333333333,3686.53333333333,4087,5004.13333333333,3651.46666666667,4119,5175.06666666667,3548.73333333333,4223,5718.86666666667,3431.13333333333,4399,6451.46666666667,3727,3595.7,3786,4254.85555555555,3546.72222222222,3812,4445.22222222222,3462.78888888889,3876.66666666667,4799.68888888889,3423.1,3910.83333333333,4978.46666666667,3305.37777777778,4029,5527.78888888889,3166.74444444444,4204.16666666667,6262.17777777778
10102,1473,1346.4,1464,1624.86666666667,1301.86666666667,1456,1677,1228.26666666667,1443,1772.66666666667,1195.73333333333,1437,1816.4,1102.6,1417,1957.33333333333,997.266666666667,1396,2156.86666666667,2562,2395.93333333333,2599,2741.66666666667,2336.73333333333,2611,2803.4,2236.13333333333,2635,2920.4,2189.73333333333,2650,2980.66666666667,2051.93333333333,2702,3176.8,1896.2,2777,3444.73333333333,2020.26666666667,1850.51111111111,2020.13333333333,2144.13333333333,1789.68444444444,2016.6,2185.58666666667,1685.95111111111,2011.13333333333,2263.95111111111,1637.45333333333,2009.73333333333,2303.35111111111,1493.98666666667,2006.73333333333,2428.67555555556,1322.37777777778,2006.4,2599.76444444444
10103,2302,2292.46666666667,2376,2498,2286.53333333333,2399,2565.53333333333,2278.86666666667,2444,2694.6,2277.13333333333,2467,2760.6,2276.73333333333,2543,2979.86666666667,2291.46666666667,2654,3296.13333333333,2675,2684.06666666667,2751,2942.33333333333,2686.53333333333,2775,3036.06666666667,2698.2,2820,3215.4,2707.86666666667,2844,3307.13333333333,2727.33333333333,2921,3610.66666666667,2751.66666666667,3036,4032.46666666667,2599.55555555556,2603.95555555556,2672.44444444444,2848.93333333333,2604.25185185185,2694.88888888889,2936.41481481482,2608.84444444444,2737.77777777778,3102.51851851852,2612.08148148148,2759.77777777778,3187.82222222222,2619.31851851852,2833.22222222222,3468.99259259259,2632.14814814815,2942.22222222222,3860.9037037037
10104,1281,1225.33333333333,1280,1432.4,1203.6,1275,1483.93333333333,1168.8,1268,1581.4,1153.2,1264,1631.4,1107.13333333333,1254,1770.8,1057.4,1244,1936.06666666667,2266,2102.93333333333,2223,2611.06666666667,2055.66666666667,2215,2733.26666666667,1976.13333333333,2201,2966.2,1937.93333333333,2194,3086.46666666667,1825.93333333333,2172,3442.4,1695.86666666667,2145,3897.26666666667,1884.92307692308,1767.29487179487,1869.76923076923,2150.19230769231,1724.4282051282,1861.42307692308,2243.72307692308,1651.54871794872,1847,2420.90512820513,1617.7641025641,1840.42307692308,2512.16153846154,1518.98461538462,1820.15384615385,2785.48717948718,1406.08205128205,1794.30769230769,3105.97948717949
10105,1827,1818.33333333333,1894,2021.73333333333,1811.06666666667,1914,2089.86666666667,1798.53333333333,1953,2216.86666666667,1792.73333333333,1972,2282.66666666667,1775.73333333333,2038,2489.26666666667,1756.13333333333,2135,2733.53333333333,6708,6719.53333333333,7118,7350.66666666667,6723.33333333333,7265,7582.26666666667,6737.53333333333,7543,8023.4,6748.4,7686,8250.53333333333,6797.93333333333,8161,8973.2,6906.4,8860,9896.2,3317.54403131115,3309.81487279843,3501.52054794521,3672.57168949772,3304.16842791911,3564.93346379648,3799.02804957599,3296.6301369863,3685.45988258317,4038,3294.13385518591,3747.6771037182,4159.30763209393,3290.81617742988,3953.72602739726,4547.79399869537,3299.13137638617,4255.02935420744,5064.64396607958
10106,1648,1589.66666666667,1654,1817.33333333333,1565.6,1653,1875.6,1523.86666666667,1651,1986.46666666667,1503.8,1650,2043.66666666667,1444.53333333333,1650,2231.8,1373.2,1658,2495,2375,2288.2,2399,2579.06666666667,2252.93333333333,2404,2650.73333333333,2194.33333333333,2414,2785.86666666667,2167.86666666667,2419,2856.46666666667,2084.86666666667,2435,3150.2,1976.2,2461,3536.6,2079.95945945946,2023.43243243243,2101.63513513513,2289.22612612613,1999.57927927928,2105.72972972973,2362.06396396396,1957.17387387387,2114.39189189189,2500.60720720721,1936.57387387387,2119.32432432432,2572.04774774775,1872.72702702703,2136.56756756757,2799.70990990991,1789.64234234234,2167.45945945946,3112.01261261261
10107,2105,2082.46666666667,2179,2366.93333333333,2070.4,2202,2459.26666666667,2049.26666666667,2248,2636.06666666667,2039.13333333333,2272,2727.46666666667,2009.13333333333,2356,3005.26666666667,1975.2,2485,3331.26666666667,3341,3161.46666666667,3393,3710.8,3150.26666666667,3408,3880.46666666667,3130.53333333333,3475,4230.2,3121.93333333333,3526,4410.6,3095.2,3695,4987,3065.2,3950,5648,2565.64705882353,2526.44967320261,2660.54901960784,2904.02352941177,2509.66274509804,2691.60784313725,3024.66405228758,2481.27320261438,2752.09803921569,3253.1045751634,2468.25490196078,2783.8431372549,3365.44967320261,2430.19738562091,2889.96078431373,3705.42483660131,2386.19738562092,3047.74509803922,4131.54117647059
10108,3017,3042.93333333333,3126,3301.2,3051.26666666667,3162,3401.26666666667,3069.93333333333,3230,3592.2,3066.13333333333,3265,3691.2,3057.26666666667,3384,4017.66666666667,3055.73333333333,3540,4466.4,3125,3140.4,3245,3458,3142.86666666667,3285,3576.73333333333,3151.26666666667,3361,3800.93333333333,3157.06666666667,3401,3916.6,3178,3535,4299.8,3213.33333333333,3736,4846.86666666667,3086.8,3100.74666666667,3197.2,3393.52,3103.92,3233.6,3502.38666666667,3113.44,3303,3708.54666666666,3118.49333333333,3339.2,3815.17333333333,3135.36,3460,4166.16,3166.38666666667,3640.6,4653.37333333333
10110,2012,1944.2,2028,2213.53333333333,1918,2030,2282.66666666667,1874.26666666667,2036,2407.53333333333,1853.2,2039,2466.66666666667,1795.26666666667,2053,2653.8,1729.33333333333,2079,2892.8,2012,1944.2,2028,2213.53333333333,1918,2030,2282.66666666667,1874.26666666667,2036,2407.53333333333,1853.2,2039,2466.66666666667,1795.26666666667,2053,2653.8,1729.33333333333,2079,2892.8,2012,1944.2,2028,2213.53333333333,1918,2030,2282.66666666667,1874.26666666667,2036,2407.53333333333,1853.2,2039,2466.66666666667,1795.26666666667,2053,2653.8,1729.33333333333,2079,2892.8
